account_age,account_created_utc,link_karma,comment_karma,ups,num_comments,image_provided,reciprocate,exchange,text_length,label
12818018.0,1417712654.0,1,81,0,0,0,0,0,78,no_pizza
129196774.0,1301332894.0,1266,881,2,0,0,0,0,31,no_pizza
21256734.0,1409267997.0,4,86,0,2,0,0,0,118,no_pizza
72557527.0,1357965482.0,1966,33,11,0,0,0,0,39,no_pizza
70255491.0,1360248981.0,95,886,3,0,0,0,0,33,no_pizza
109385172.0,1321118890.0,3301,1491,26,0,0,0,0,147,no_pizza
59942418.0,1370503334.0,5229,52402,2,1,0,0,0,50,no_pizza
24613615.0,1405819746.0,21,3683,3,3,0,0,0,88,no_pizza
41809624.0,1388619245.0,57,169,6,0,0,0,0,135,no_pizza
5364603.0,1425064088.0,1,41,1,0,0,0,0,81,no_pizza
15002777.0,1415425870.0,37,553,1,0,0,1,0,60,no_pizza
85140891.0,1345284652.0,3448,49298,3,1,0,0,0,104,no_pizza
20642998.0,1409782060.0,611,10055,2,0,0,0,1,78,no_pizza
53555589.0,1376860239.0,9,990,0,0,0,0,0,23,no_pizza
77219723.0,1353189576.0,620,7686,4,0,0,0,0,47,no_pizza
89775468.0,1340629155.0,2124,5154,6,0,0,0,0,63,no_pizza
121295165.0,1309074656.0,1,61,2,0,0,0,0,36,no_pizza
104224758.0,1326135744.0,345,162,7,1,0,0,0,157,no_pizza
62462145.0,1367895839.0,16,166,0,0,0,0,0,58,no_pizza
107104209.0,1323253682.0,12,57,5,0,0,0,0,51,no_pizza
114660301.0,1315693476.0,129,5600,3,0,0,0,0,61,no_pizza
16957539.0,1413392082.0,1,5518,18,2,0,1,0,42,no_pizza
7847725.0,1422500086.0,88,49,2,2,0,0,0,75,no_pizza
107658410.0,1322684149.0,1199,705,2,0,0,0,1,119,no_pizza
87444019.0,1342892349.0,2579,3621,5,0,0,0,0,56,no_pizza
10062103.0,1420273858.0,1,216,3,6,0,1,0,89,no_pizza
71556140.0,1358773689.0,19,33,2,0,0,0,0,79,no_pizza
93736476.0,1336591129.0,41130,15082,1,0,0,0,0,113,no_pizza
40082466.0,1390244930.0,1,62,2,0,0,0,0,53,no_pizza
29650832.0,1400618422.0,1,452,5,0,0,0,1,20,no_pizza
10871486.0,1419396736.0,1696,12039,6,0,0,1,0,94,no_pizza
10819494.0,1419445153.0,1,306,4,0,0,0,0,54,no_pizza
32738098.0,1397525358.0,9,393,3,0,0,1,0,55,no_pizza
24095742.0,1406166928.0,196,207,3,0,0,0,0,58,no_pizza
25084230.0,1405178053.0,1,48,3,0,0,1,0,87,no_pizza
51404336.0,1378856646.0,34,636,3,0,0,0,0,60,no_pizza
70011894.0,1360248981.0,95,886,1,0,0,0,0,64,no_pizza
101745242.0,1328514751.0,28,27,2,0,0,0,0,70,no_pizza
59881590.0,1370378378.0,978,438,1,4,0,0,0,79,no_pizza
15374289.0,1414879897.0,22,1573,9,8,0,0,0,43,no_pizza
100289706.0,1329960427.0,9473,10563,1,0,0,0,0,100,no_pizza
91223450.0,1339003832.0,503,3673,22,7,1,0,0,47,no_pizza
23181750.0,1407040436.0,53,2810,9,0,0,0,0,22,no_pizza
90127166.0,1340066903.0,85,765,4,1,0,0,0,43,no_pizza
102829954.0,1327356206.0,35,1404,7,7,0,0,0,46,no_pizza
115317137.0,1314867266.0,506,5421,8,3,0,0,0,64,no_pizza
76022899.0,1354160280.0,6,4286,7,2,0,1,0,143,no_pizza
77133401.0,1353044143.0,243,1770,1,0,0,0,0,55,no_pizza
54971889.0,1375204562.0,2500,4050,4,0,0,0,0,29,no_pizza
17521868.0,1412652414.0,1,4717,4,0,0,0,0,179,no_pizza
96006148.0,1334165694.0,10193,745,3,2,0,0,0,38,no_pizza
95477082.0,1334692836.0,258,5927,5,0,0,0,0,45,no_pizza
65502493.0,1364642151.0,1463,650,3,1,0,0,0,53,no_pizza
28469246.0,1401642528.0,1199,1938,3,0,0,1,0,51,no_pizza
99208061.0,1330898538.0,8879,1418,2,0,0,0,0,75,no_pizza
117914906.0,1312177715.0,248,505,0,0,0,0,0,62,no_pizza
85211507.0,1344879633.0,9374,10379,37,7,0,0,0,204,no_pizza
99860414.0,1330223985.0,47,1437,0,0,0,0,0,37,no_pizza
35417741.0,1394665408.0,74,758,0,0,0,0,0,224,no_pizza
40088604.0,1389991538.0,579,1432,0,0,0,0,0,32,no_pizza
13387162.0,1416690793.0,1,391,0,1,0,0,0,103,no_pizza
116681882.0,1313395619.0,1627,84,0,0,0,0,0,72,no_pizza
103102015.0,1326966487.0,2836,7853,0,0,0,1,0,85,no_pizza
11731891.0,1418334755.0,882,4768,0,3,0,0,0,64,no_pizza
9509163.0,1420533516.0,3,68,2,3,0,1,0,49,no_pizza
127690963.0,1302330122.0,137,680,2,0,0,0,0,57,no_pizza
27735222.0,1402284793.0,29,221,4,0,0,0,0,71,no_pizza
30060125.0,1399955154.0,44,311,1,2,0,0,0,299,no_pizza
63851290.0,1366162197.0,1,5040,3,0,0,1,0,58,no_pizza
36790006.0,1393222557.0,1232,564,1,0,0,0,0,89,no_pizza
16418140.0,1413588950.0,1,79,6,1,0,0,0,106,no_pizza
81319224.0,1348679865.0,2301,4221,2,0,0,0,0,1289,no_pizza
126279396.0,1303717224.0,324,154,0,0,0,0,0,26,no_pizza
165728803.0,1264194830.0,2698,21922,2,0,0,0,0,85,no_pizza
64179354.0,1365738679.0,117,291,8,2,0,0,0,42,no_pizza
8549775.0,1421362057.0,222,350,0,0,0,0,0,88,no_pizza
214278941.0,1215629583.0,23,287,1,0,0,0,0,52,no_pizza
93834695.0,1336065020.0,292,1116,0,0,0,0,0,44,no_pizza
23674153.0,1406216813.0,43,3037,8,5,0,0,0,354,no_pizza
33760269.0,1396128137.0,789,41,4,2,0,0,0,76,no_pizza
74590782.0,1355249006.0,62,265,34,3,0,0,0,53,no_pizza
73407643.0,1356430726.0,2048,9438,5,0,0,0,1,138,no_pizza
52974764.0,1376860239.0,9,990,2,0,0,0,0,58,no_pizza
59386434.0,1370448010.0,11,44,5,0,0,0,0,39,no_pizza
77574949.0,1352257834.0,3884,3698,8,2,0,0,1,41,no_pizza
17176657.0,1412652414.0,1,4717,16,4,0,0,0,169,no_pizza
84134778.0,1345693912.0,5349,3429,3,0,0,0,0,47,no_pizza
99436669.0,1330391902.0,10,45,3,0,0,0,1,83,no_pizza
77067343.0,1352760433.0,43,276,3,0,0,0,0,12,no_pizza
86770863.0,1343047193.0,4882,3308,2,0,0,0,0,61,no_pizza
131759611.0,1298055729.0,1119,1349,0,2,0,0,0,30,no_pizza
120676526.0,1309124667.0,281,302,6,2,0,0,0,63,no_pizza
110793093.0,1319007919.0,1,40,1,0,0,0,0,26,no_pizza
266881111.0,1162909755.0,5406,22984,2,2,0,0,0,63,no_pizza
49499719.0,1380253973.0,1,188,4,0,0,1,0,152,no_pizza
38532543.0,1391210980.0,1,1635,20,2,0,1,0,163,no_pizza
7174528.0,1422568096.0,195,66,6,0,0,1,0,91,no_pizza
127561720.0,1302179434.0,40,315,5,0,0,0,0,239,no_pizza
168729592.0,1261007269.0,81,1646,1,0,0,0,0,95,no_pizza
139861926.0,1289872725.0,1687,7420,6,0,0,0,0,370,no_pizza
61234321.0,1368492006.0,1136,15840,16,1,0,0,0,203,no_pizza
89055141.0,1340666532.0,64,1430,0,0,0,0,0,39,no_pizza
20666281.0,1409049114.0,536,660,0,0,0,0,0,43,no_pizza
33918762.0,1395775051.0,3,3065,1,3,0,0,0,20,no_pizza
100735100.0,1328942187.0,2057,461,9,0,0,0,0,48,no_pizza
37421715.0,1392238371.0,2,268,7,0,0,0,0,21,no_pizza
